
Bicycle code [[n, k, d]],dA,dB, '1' index of a(x)
b(x) = 1 + x^(t_1*beta), n = 2*t_1*t_2 + 2

w = 2;
t1max = 6;
t2max = 10;
beta = 3;
t1 = 2, t2 = 1, l = 3
t1 = 2, t2 = 2, l = 5
t1 = 2, t2 = 3, l = 7
[14, 2, 3], 7, 7, 0, 2, 
[14, 2, 3], 7, 7, 0, 3, 
[14, 2, 3], 7, 7, 0, 4, 
[14, 2, 3], 7, 7, 0, 5, 
t1 = 2, t2 = 4, l = 9
[18, 2, 3], 9, 3, 0, 1, 
[18, 2, 3], 9, 3, 0, 2, 
[18, 2, 3], 9, 3, 0, 4, 
[18, 2, 3], 9, 3, 0, 5, 
[18, 2, 3], 9, 3, 0, 7, 
[18, 2, 3], 9, 3, 0, 8, 
t1 = 2, t2 = 5, l = 11
[22, 2, 3], 11, 11, 0, 1, 
[22, 2, 4], 11, 11, 0, 2, 
[22, 2, 3], 11, 11, 0, 3, 
[22, 2, 4], 11, 11, 0, 4, 
[22, 2, 4], 11, 11, 0, 7, 
[22, 2, 3], 11, 11, 0, 8, 
[22, 2, 4], 11, 11, 0, 9, 
[22, 2, 3], 11, 11, 0, 10, 
t1 = 2, t2 = 6, l = 13
[26, 2, 3], 13, 13, 0, 1, 
[26, 2, 4], 13, 13, 0, 2, 
[26, 2, 3], 13, 13, 0, 3, 
[26, 2, 5], 13, 13, 0, 4, 
[26, 2, 4], 13, 13, 0, 5, 
[26, 2, 4], 13, 13, 0, 8, 
[26, 2, 5], 13, 13, 0, 9, 
[26, 2, 3], 13, 13, 0, 10, 
[26, 2, 4], 13, 13, 0, 11, 
[26, 2, 3], 13, 13, 0, 12, 
t1 = 2, t2 = 7, l = 15
[30, 2, 5], 15, 5, 0, 1, 
[30, 2, 4], 15, 5, 0, 2, 
[30, 6, 3], 5, 5, 0, 3, 
[30, 2, 5], 15, 5, 0, 4, 
[30, 2, 3], 3, 5, 0, 5, 
[30, 2, 4], 15, 5, 0, 7, 
[30, 2, 4], 15, 5, 0, 8, 
[30, 2, 3], 3, 5, 0, 10, 
[30, 2, 5], 15, 5, 0, 11, 
[30, 6, 3], 5, 5, 0, 12, 
[30, 2, 4], 15, 5, 0, 13, 
[30, 2, 5], 15, 5, 0, 14, 
t1 = 2, t2 = 8, l = 17
[34, 2, 4], 17, 17, 0, 1, 
[34, 2, 4], 17, 17, 0, 2, 
[34, 2, 3], 17, 17, 0, 3, 
[34, 2, 5], 17, 17, 0, 4, 
[34, 2, 3], 17, 17, 0, 5, 
[34, 2, 5], 17, 17, 0, 7, 
[34, 2, 5], 17, 17, 0, 8, 
[34, 2, 5], 17, 17, 0, 9, 
[34, 2, 5], 17, 17, 0, 10, 
[34, 2, 3], 17, 17, 0, 12, 
[34, 2, 5], 17, 17, 0, 13, 
[34, 2, 3], 17, 17, 0, 14, 
[34, 2, 4], 17, 17, 0, 15, 
[34, 2, 4], 17, 17, 0, 16, 
t1 = 2, t2 = 9, l = 19
[38, 2, 4], 19, 19, 0, 1, 
[38, 2, 4], 19, 19, 0, 2, 
[38, 2, 3], 19, 19, 0, 3, 
[38, 2, 5], 19, 19, 0, 4, 
[38, 2, 5], 19, 19, 0, 5, 
[38, 2, 3], 19, 19, 0, 7, 
[38, 2, 5], 19, 19, 0, 8, 
[38, 2, 5], 19, 19, 0, 9, 
[38, 2, 5], 19, 19, 0, 10, 
[38, 2, 5], 19, 19, 0, 11, 
[38, 2, 3], 19, 19, 0, 12, 
[38, 2, 5], 19, 19, 0, 14, 
[38, 2, 5], 19, 19, 0, 15, 
[38, 2, 3], 19, 19, 0, 16, 
[38, 2, 4], 19, 19, 0, 17, 
[38, 2, 4], 19, 19, 0, 18, 
t1 = 2, t2 = 10, l = 21
[42, 2, 6], 21, 7, 0, 1, 
[42, 2, 4], 21, 7, 0, 2, 
[42, 6, 3], 7, 7, 0, 3, 
[42, 2, 5], 21, 7, 0, 4, 
[42, 2, 4], 21, 7, 0, 5, 
[42, 2, 3], 3, 7, 0, 7, 
[42, 2, 6], 21, 7, 0, 8, 
[42, 6, 3], 7, 7, 0, 9, 
[42, 2, 5], 21, 7, 0, 10, 
[42, 2, 5], 21, 7, 0, 11, 
[42, 6, 3], 7, 7, 0, 12, 
[42, 2, 6], 21, 7, 0, 13, 
[42, 2, 3], 3, 7, 0, 14, 
[42, 2, 4], 21, 7, 0, 16, 
[42, 2, 5], 21, 7, 0, 17, 
[42, 6, 3], 7, 7, 0, 18, 
[42, 2, 4], 21, 7, 0, 19, 
[42, 2, 6], 21, 7, 0, 20, 
t1 = 4, t2 = 1, l = 5
t1 = 4, t2 = 2, l = 9
t1 = 4, t2 = 3, l = 13
[26, 2, 3], 13, 13, 0, 2, 
[26, 2, 4], 13, 13, 0, 3, 
[26, 2, 4], 13, 13, 0, 4, 
[26, 2, 5], 13, 13, 0, 5, 
[26, 2, 3], 13, 13, 0, 6, 
[26, 2, 3], 13, 13, 0, 7, 
[26, 2, 5], 13, 13, 0, 8, 
[26, 2, 4], 13, 13, 0, 9, 
[26, 2, 4], 13, 13, 0, 10, 
[26, 2, 3], 13, 13, 0, 11, 
t1 = 4, t2 = 4, l = 17
[34, 2, 5], 17, 17, 0, 1, 
[34, 2, 4], 17, 17, 0, 2, 
[34, 2, 5], 17, 17, 0, 3, 
[34, 2, 4], 17, 17, 0, 4, 
[34, 2, 3], 17, 17, 0, 6, 
[34, 2, 3], 17, 17, 0, 7, 
[34, 2, 5], 17, 17, 0, 8, 
